users;Longitude;Latitude;rideable_type;ride_length
member;-87.61672567;41.881039;electric_bike;1607
member;-87.61678064;41.88103795;electric_bike;895
member;-87.61678683;41.88122383;electric_bike;1877
member;-87.61677667;41.880941;electric_bike;3803
member;-87.61676533;41.8810575;electric_bike;797
member;-87.61676;41.8810025;electric_bike;441
member;-87.61675617;41.88094283;electric_bike;760
member;-87.61678636;41.88117373;electric_bike;490
member;-87.61674667;41.881103;electric_bike;209
member;-87.616734;41.88095767;electric_bike;332
member;-87.6167565;41.88110717;electric_bike;1028
member;-87.61676033;41.88113183;electric_bike;448
member;-87.61677767;41.88119933;electric_bike;1249
member;-87.61675717;41.88095667;electric_bike;700
member;-87.61677611;41.88122487;electric_bike;582
member;-87.61675322;41.8809526;electric_bike;470
member;-87.61679983;41.881233;electric_bike;262
member;-87.61676991;41.88096762;electric_bike;652
member;-87.61677837;41.88097882;electric_bike;2060
member;-87.61674017;41.88100867;electric_bike;1558
member;-87.61678255;41.88103271;electric_bike;548
member;-87.61676538;41.88106656;electric_bike;3713
member;-87.61680746;41.8810693;electric_bike;1867
member;-87.6167265;41.8812015;electric_bike;3422
member;-87.6167585;41.88096417;electric_bike;1631
member;-87.6167445;41.88094933;electric_bike;4945
member;-87.61679113;41.88103306;electric_bike;1244
member;-87.61676183;41.88102783;electric_bike;416
member;-87.61674633;41.8809765;electric_bike;498
member;-87.61675739;41.88095474;electric_bike;2140
member;-87.61669633;41.88105167;electric_bike;1934
member;-87.61676633;41.88114017;electric_bike;2045
member;-87.61672;41.88101717;electric_bike;804
member;-87.61676217;41.881107;electric_bike;1478
member;-87.61676317;41.88099683;electric_bike;1902
member;-87.6167825;41.88094267;electric_bike;731
member;-87.61673319;41.88103283;electric_bike;408
member;-87.61673583;41.88116017;electric_bike;1528
member;-87.6167915;41.8810695;electric_bike;657
member;-87.616788;41.8809645;electric_bike;2923
member;-87.61677349;41.88093579;electric_bike;1441
member;-87.61674117;41.88092283;electric_bike;506
member;-87.616755;41.88108367;electric_bike;442
member;-87.61678667;41.881175;electric_bike;722
member;-87.61676217;41.88096567;electric_bike;655
member;-87.616735;41.88115367;electric_bike;315
member;-87.61676383;41.88101067;electric_bike;534
member;-87.61678567;41.88108133;electric_bike;351
member;-87.61671167;41.88107267;electric_bike;706
member;-87.616755;41.8809945;electric_bike;916
member;-87.61671583;41.88095217;electric_bike;242
member;-87.616718;41.8809845;electric_bike;1196
member;-87.6167415;41.880913;electric_bike;2025
member;-87.6167075;41.88113433;electric_bike;859
member;-87.61675787;41.88109672;electric_bike;1090
member;-87.61678803;41.88109481;electric_bike;1660
member;-87.61673383;41.88092767;electric_bike;465
member;-87.61677468;41.88114238;electric_bike;1588
member;-87.61673867;41.88092817;electric_bike;1658
member;-87.616763;41.8809165;electric_bike;1140
member;-87.61676233;41.88104917;electric_bike;558
member;-87.61674483;41.88113483;electric_bike;1492
member;-87.61676617;41.88093117;electric_bike;640
member;-87.61674714;41.88104343;electric_bike;622
member;-87.61675;41.88115817;electric_bike;2264
member;-87.61676014;41.88116849;electric_bike;483
member;-87.6167717;41.88114011;electric_bike;787
member;-87.61675383;41.88120017;electric_bike;1125
member;-87.6167585;41.88096117;electric_bike;1972
member;-87.616781;41.88110483;electric_bike;384
member;-87.616773;41.88092967;electric_bike;2475
member;-87.61677583;41.8809725;electric_bike;387
member;-87.61675883;41.881241;electric_bike;3686
member;-87.61678278;41.88115156;electric_bike;405
member;-87.6167665;41.880972;electric_bike;2566
member;-87.61673283;41.88095617;electric_bike;22
member;-87.61675983;41.88108483;electric_bike;6
member;-87.616773;41.880947;electric_bike;1116
member;-87.61678;41.881113;electric_bike;589
member;-87.61679709;41.88099992;electric_bike;255
member;-87.6167185;41.881071;electric_bike;509
member;-87.61678505;41.88114512;electric_bike;396
member;-87.61674106;41.88107026;electric_bike;1216
member;-87.61675083;41.88112967;electric_bike;735
member;-87.6167545;41.8809535;electric_bike;663
member;-87.61676117;41.88102617;electric_bike;502
member;-87.61680567;41.88097191;electric_bike;507
member;-87.61678219;41.88111317;electric_bike;1894
member;-87.61674607;41.88091958;electric_bike;466
member;-87.61680033;41.88116;electric_bike;536
member;-87.61676867;41.88094267;electric_bike;1372
member;-87.61679217;41.88115117;electric_bike;1320
member;-87.61673867;41.8810835;electric_bike;1576
member;-87.616754;41.88095467;electric_bike;1650
member;-87.61677317;41.88106617;electric_bike;367
member;-87.616733;41.881173;electric_bike;5968
member;-87.6167661;41.88117218;electric_bike;2091
member;-87.61674967;41.880969;electric_bike;1146
member;-87.61676991;41.88108611;electric_bike;1020
member;-87.61674617;41.88103483;electric_bike;451
member;-87.61676583;41.88097317;electric_bike;1275
member;-87.61670833;41.88110583;electric_bike;1849
